Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
107,Covington Public Schools,,9997,Local or Regional Jail,PK,12,Local Education Agency,Local or Regional Jail,Combined,,   ,340 E. Walnut  St,,Covington,VA,24426,540-965-1400,Membership,,
107,Covington Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
23,Craig County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
23,Craig County Public Schools,5.10102E+11,11,Craig County High,6,12,Local Education Agency,Public school - Regular,Combined,4X4,   ,25239 Craigs Creek Road,Hwy 615,New Castle,VA,24127,540-864-5185,Membership,,
23,Craig County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
23,Craig County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
23,Craig County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
23,Craig County Public Schools,5.10102E+11,10,McCleary Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,6 period,Gerri  VanDyke ,25345 Craigs Creek Raod,Hwy 615,New Castle,VA,24127,540-864-5173,Membership,,
23,Craig County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,5.10105E+11,240,A.G. Richardson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Temesha  Dabney ,18370 Simms Dr,,Culpeper,VA,22701,540-825-0616,Membership,,
24,Culpeper County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,5.10105E+11,480,Culpeper County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Daniel C Soderholm ,14240 Achievement Drive,,Culpeper,VA,22701,540-825-8310,Membership,,
24,Culpeper County Public Schools,,583,Culpeper County High Ext Annex,,,Local Education Agency,Annex to a public school,,,   ,14240 Achievement Drive,,Culpeper,VA,22701,540-825-3677,Non-Membership,,
24,Culpeper County Public Schools,5.10105E+11,20,Culpeper Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Mr. Jesse  Blackburn ,14300 Achievement Dr,,Culpeper,VA,22701,540-825-4140,Membership,,
24,Culpeper County Public Schools,,912,Culpeper Technical Education Center,,,Local Education Agency,Public center - Career and Technical Ed.,,,Mr. Shaun  Summerscales ,17441 Frank Turnage Drive,,Culpeper,VA,22701,540-423-6504,Non-Membership,,
24,Culpeper County Public Schools,5.10105E+11,50,Eastern View High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mrs. Jennifer Talbot Brockman ,16332 Cyclone Way,,Culpeper,VA,22701,540-825-0621,Membership,,
24,Culpeper County Public Schools,5.10105E+11,450,Emerald Hill Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Victoria  Gelbert ,11245 Rixeyville Rd,,Culpeper,VA,22701,540-937-7361,Membership,,
24,Culpeper County Public Schools,5.10105E+11,470,Farmington Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Renee  Wootten ,500 Sunset Ln,,Culpeper,VA,22701,540-825-0713,Membership,,
24,Culpeper County Public Schools,5.10105E+11,581,Floyd T. Binns Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Mr. Nathan  Bopp ,205 Grandview Ave.,,Culpeper,VA,22701,540-829-6894,Membership,,
24,Culpeper County Public Schools,5.10105E+11,582,Galbreath-Marshall Building,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,   ,1401 Old Fredericksburg Rd.,,Culpeper,VA,22701,540-825-3677,Membership,,
24,Culpeper County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,,9997,Local or Regional Jail,6,12,Local Education Agency,Local or Regional Jail,Combined,,   ,131 W. Cameron Street,,Culpeper,VA,22701,540-825-3677,Membership,,
24,Culpeper County Public Schools,5.10105E+11,10,Pearl Sample Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Daniel  Birch ,18480 Simms Dr,,Culpeper,VA,22701,540-825-5448,Membership,,
24,Culpeper County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
24,Culpeper County Public Schools,5.10105E+11,460,Sycamore Park Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Derek  McWilliams ,451 Radio Ln,,Culpeper,VA,22701,540-825-8847,Membership,,
24,Culpeper County Public Schools,5.10105E+11,40,Yowell Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Angela  Fiscus ,701 Yowell Drive,,Culpeper,VA,22701,540-825-9484,Membership,,
25,Cumberland County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
25,Cumberland County Public Schools,5.10108E+11,140,Cumberland Elementary,PK,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Ginny  Gills ,PO Box 190,,Cumberland,VA,23040,804-492-4212,Membership,,
25,Cumberland County Public Schools,5.10108E+11,151,Cumberland High,9,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Eugene  Williams ,PO Box 140,,Cumberland,VA,23040,804-492-4212,Membership,,
25,Cumberland County Public Schools,5.10108E+11,152,Cumberland Middle,5,8,Local Education Agency,Public school - Regular,Combined,,Mr. Andrew  Hoyt ,PO Box 184,,Cumberland,VA,23040,804-492-4212,Membership,,
25,Cumberland County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
25,Cumberland County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
25,Cumberland County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
25,Cumberland County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
25,Cumberland County Public Schools,5.10108E+11,910,Superintendent's Region 8 Gov's Health/Science Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,   ,P. O. Box 170,,Cumberland,VA,23040,804-492-4212,Non-Membership,,
108,Danville Public Schools,5.10111E+11,1378,Adult & Career Education Center,,,Local Education Agency,Public center - Alternative,,8 A/B,   ,141 Goode Street,,Danville,VA,24541,434-799-6471,Non-Membership,,
108,Danville Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
108,Danville Public Schools,5.10111E+11,490,Edwin A. Gibson Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Star  Norton ,1215 Industrial Avenue,,Danville,VA,24541,434-799-6426,Membership,,
108,Danville Public Schools,5.10111E+11,20,Forest Hills Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. James  Kirkpatrick ,155 Mountain View Ave,,Danville,VA,24541,434-799-6430,Membership,,
108,Danville Public Schools,5.10111E+11,190,G.L.H. Johnson Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kevin  Bowman ,680 Arnett Blvd,,Danville,VA,24540,434-799-6433,Membership,,
108,Danville Public Schools,5.10111E+11,1374,Galileo Magnet High,9,12,Local Education Agency,Public school - Regular,High,4X4,Ms. Angela Michelle Ramsey ,230 S. Ridge St.,,Danville,VA,24541,434-773-8186,Membership,,
108,Danville Public Schools,5.10111E+11,210,George Washington High,9,12,Local Education Agency,Public school - Regular,High,4X4,   ,701 Broad St,,Danville,VA,24541,434-799-6410,Membership,,
108,Danville Public Schools,5.10111E+11,200,Grove Park Preschool,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,Ms. Rhonda  Wright ,1070 S Main St,,Danville,VA,24541,434-799-6437,Membership,,
108,Danville Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
108,Danville Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
108,Danville Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
108,Danville Public Schools,,2021,I.W. Taylor Virtual Elementary Academy,,,Local Education Agency,Public center - Virtual,,,   ,825 Piney Forest Road,,Danville,VA,24540,434-773-8134,Non-Membership,,
108,Danville Public Schools,,2022,I.W. Taylor Virtual Middle Academy,,,Local Education Agency,Public center - Virtual,,,   ,825 Piney Forest Road,,Danville,VA,24540,434-773-8134,Non-Membership,,
108,Danville Public Schools,,2023,I.W. Taylor Virtual Secondary Academy,,,Local Education Agency,Public center - Virtual,,,   ,825 Piney Forest Road,,Danville,VA,24540,434-773-8134,Non-Membership,,
108,Danville Public Schools,5.10111E+11,139,John M. Langston Focus,,,Local Education Agency,Public center - Division Defined,,4X4,   ,228 Cleveland Street,,Danville,VA,24541,434-799-5249,Non-Membership,,
108,Danville Public Schools,,9997,Local Or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,Dr. Richard  Wieringo ,,,Danville,VA,24541,434-000-0000,Membership,,
108,Danville Public Schools,5.10111E+11,260,O. Trent Bonner Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mr. Wayne  Mayo ,300 Apollo Ave,,Danville,VA,24540,434-799-6446,Membership,,
108,Danville Public Schools,5.10111E+11,250,Park Avenue Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Elizabeth  Bennett ,661 Park Ave,,Danville,VA,24541,434-799-6452,Membership,,
108,Danville Public Schools,5.10111E+11,40,Schoolfield Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,LaTonya  Simmons ,1400 W Main St,,Danville,VA,24541,434-799-6455,Membership,,
108,Danville Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
108,Danville Public Schools,5.10111E+11,30,The Northside Preschool,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,   ,P.O. Box 9600,,Danville,VA,24543,434-773-8301,Membership,,
108,Danville Public Schools,,1380,Virtual Academy at I.W. Taylor,,,Local Education Agency,Public center - Virtual,,,Ms. Lakeisha  Hill ,825 Piney Forest,,Danville,VA,24540,434-799-6400,Non-Membership,,
108,Danville Public Schools,,1376,Westmoreland Pre-School Feeding Site,,,Local Education Agency,SNP feeding site,,,   ,540 Gay St.,,Danville,VA,24541,434-799-6400,Non-Membership,,
108,Danville Public Schools,5.10111E+11,1372,Westwood Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mrs. Judy  Cox ,500 Apollo Ave,,Danville,VA,24540,434-797-8860,Membership,,
108,Danville Public Schools,5.10111E+11,220,Woodberry Hills Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Kayshawnia  Torres ,614 Audubon Dr,,Danville,VA,24540,434-799-6466,Membership,,
108,Danville Public Schools,,1381,Woodrow Wilson Intermediate Center,,,Local Education Agency,Public center - Alternative,,,   ,1005 N. Main Street,,Danville,VA,24540,434-773-8393,Non-Membership,,
26,Dickenson County Public Schools,5.10114E+11,20,Clintwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Tony A. Robinson ,150 Elementary Circle,,Clintwood,VA,24228,276-926-6088,Membership,,
26,Dickenson County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
26,Dickenson County Public Schools,5.10114E+11,530,Ervinton Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dwayne  Edwards ,195 Ervinton Circle,,Nora,VA,24272,276-835-8423,Membership,,
26,Dickenson County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
26,Dickenson County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
26,Dickenson County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
26,Dickenson County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 1127,,Clintwood,VA,24228,540-926-4643,Membership,,
26,Dickenson County Public Schools,5.10114E+11,275,Ridgeview High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Rodney L. Compton ,310 Wolfpack Way,,Clintwood,VA,24228,276-835-1600,Membership,,
26,Dickenson County Public Schools,5.10114E+11,280,Ridgeview Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mr. John Randall Whitner ,320 Wolfpack Way,,Clintwood,VA,24228,276-835-1601,Membership,,
26,Dickenson County Public Schools,5.10114E+11,860,Sandlick Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,186 Anderson Lane,,Birchleaf,VA,24220,276-865-5361,Membership,,
26,Dickenson County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,500,Dinwiddie County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Robbie  Garnes ,P O Box 299,,Dinwiddie,VA,23841,804-469-4280,Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,471,Dinwiddie County Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 A/B,Mr. Jeffrey  Walters ,P O Box 340,,Dinwiddie,VA,23841,804-469-5430,Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,310,Dinwiddie Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Davis  Roberts Jr.,13811 Boydton Plank Rd,,Dinwiddie,VA,23841,804-469-4580,Membership,,
27,Dinwiddie County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 7,,Dinwiddie,VA,23841,804-469-4190,Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,250,Midway Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Randal W. Johnson ,5511 Midway Rd,,Church Road,VA,23833,804-265-4205,Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,10,Southside Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Sheri  Culbreath ,10305 Boydton Plank Rd,,Dinwiddie,VA,23841,804-469-4480,Membership,,
27,Dinwiddie County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,180,Sunnyside Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Brenton  Byrd ,P O Box 250,,Mckenney,VA,23872,804-478-2313,Membership,,
27,Dinwiddie County Public Schools,5.10117E+11,520,Sutherland Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Heather Amanda Clay ,6000 R. B. Pamplin Drive,,Sutherland,VA,23885,804-732-4168,Membership,,
28,Essex County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
28,Essex County Public Schools,5.1012E+11,10,Essex High,8,12,Local Education Agency,Public school - Regular,High,8 period,Mr. Damean  Barfield ,PO Box 1006,,Tappahannock,VA,22560,804-443-4301,Membership,,
28,Essex County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
28,Essex County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
28,Essex County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
28,Essex County Public Schools,5.1012E+11,150,James H. Cary Intermediate,4,7,Local Education Agency,Public school - Regular,Elementary,5 period,Mrs. Fonella  Calhoun ,PO Box 609,,Tappahannock,VA,22560,804-443-3040,Membership,,
28,Essex County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
28,Essex County Public Schools,5.1012E+11,160,Tappahannock Elementary,PK,3,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Janet  Garland ,PO Box 399,,Tappahannock,VA,22560,804-443-5301,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2212,ALC at Bryant,,,Local Education Agency,Public center - Alternative,,,   ,2709 Popkins Ln,,Alexandria,VA,22306,703-660-2101,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2352,ALC at Burke,,,Local Education Agency,Public center - Alternative,,,Mr. Frank A Tranfa ,9645 Burke Lake Road,,Burke,VA,20115,703-426-7300,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2246,ALC at Montrose,,,Local Education Agency,Public center - Alternative,,,Raven  Jones ,6525 Montrose St,,Alexandria,VA,22312,703-658-5800,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2213,ALC at Mountain View,,,Local Education Agency,Public center - Alternative,,,Ms. Susan M Lee ,5775 Spindle Ct,,Centreville,VA,20121,571-522-6840,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2244,Achievement, Integrity, And Maturity,,,Local Education Agency,Public center - Alternative,,,   ,c/o Kathryn Salerno,2709 Popkins Lane,Alexandria,VA,22306,703-660-2064,Non-Membership
29,Fairfax County Public Schools,5.10126E+11,2203,Aldrin Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Shane  Wolfe ,11375 Center Harbor Rd,,Reston,VA,20194,703-904-3800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,660,Annandale High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Shawn  DeRose ,4700 Medford Dr,,Annandale,VA,22003,703-642-4100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1360,Annandale Terrace Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lisa  Pilson ,7604 Herald St,,Annandale,VA,22003,703-658-5600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,110,Archer Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michelle  Makrigiorgos ,324 Nutley St NW,,Vienna,VA,22180,703-937-6200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1530,Armstrong Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,James  Quinn ,11900 Lake Newport Rd,,Reston,VA,20194,703-375-4800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,550,Bailey's Elementary School for the Arts and Sciences,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Satonya  Dews ,6111 Knollwood Dr,,Falls Church,VA,22041,703-575-6800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2459,Bailey's Upper Elementary School for the Arts and Sciences,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Marie  Lemmon ,6245 Leesburg Pike,,Falls Church,VA,22044,703-503-2700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1730,Beech Tree Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Karim  Daugherty ,3401 Beechtree Ln,,Falls Church,VA,22042,703-531-2600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,560,Belle View Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Thomas  Kuntz ,6701 Fort Hunt Rd,,Alexandria,VA,22307,703-660-8300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,720,Belvedere Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cecilia  Vanderhye ,6540 Columbia Pike,,Falls Church,VA,22041,703-916-6800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2000,Bonnie Brae Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dwayne  Young ,5420 Sideburn Rd,,Fairfax,VA,22032,703-321-3900,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1090,Braddock Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Keesha  Jackson-Muir ,7825 Heritage Dr,,Annandale,VA,22003,703-914-7300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,940,Bren Mar Park Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Elizabeth  Williams ,6344 Beryl Rd,,Alexandria,VA,22312,703-914-7200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1790,Brookfield Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ellen  Mukai ,4200 Lees Corner Rd,,Chantilly,VA,20151,703-814-8700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2201,Bryant High,9,12,Local Education Agency,Public school - Alternative,High,4X4,Christopher  Larrick ,2709 Popkins Ln,,Alexandria,VA,22306,703-660-2001,Membership,,
29,Fairfax County Public Schools,5.10126E+11,700,Bucknell Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,LaRonda  Peterson ,6925 University Dr,,Alexandria,VA,22307,703-660-2900,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2251,Bull Run Early Childhood Resource Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,,   ,15301 Lee Highway,,Centreville,VA,20121,703-802-7788,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2225,Bull Run Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jason  Pensler ,15301 Lee Hwy,,Centreville,VA,20121,703-227-1400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,310,Burke School,,,Local Education Agency,Public center - Special Education,,,Deborah  Strayhorn ,9645 Burke Lake Rd,,Burke,VA,22015,703-426-7300,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,680,Bush Hill Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mary  Duffy ,5927 Westchester St,,Alexandria,VA,22310,703-924-5600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1940,Camelot Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Aileen  Flaherty ,8100 Guinevere Dr,,Annandale,VA,22003,703-645-7000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,620,Cameron Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Eric  Johnson ,3434 Campbell Dr,,Alexandria,VA,22303,703-329-2100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1590,Canterbury Woods Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Diane  Leipzig ,4910 Willet Dr,,Annandale,VA,22003,703-764-5600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1690,Cardinal Forest Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Felicia  Drake ,8600 Forrester Blvd,,Springfield,VA,22152,703-923-5200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2222,Carson Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Gordon  Stokes ,13618 McLearen Rd,,Herndon,VA,20171,703-925-3600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,880,Cedar Lane School,,,Local Education Agency,Public center - Special Education,,,Thomas  Lundy ,101 Cedar Ln SW,,Vienna,VA,22180,703-208-2400,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2090,Centre Ridge Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Chip  Deliee ,14400 New Braddock Rd,,Centreville,VA,20121,703-227-2600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2205,Centreville Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Joshua  Douds ,14330 Green Trails Blvd,,Centreville,VA,20121,703-502-3500,Membership,,
29,Fairfax County Public Schools,5.10126E+11,200,Centreville High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Chad  Lehman ,6001 Union Mill Rd,,Clifton,VA,20124,703-802-5400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2446,Chantilly Governor's STEM Academy,,,Local Education Agency,Public center - Governor's STEM Academy,,,   ,4201 Stringfellow Rd,,Chantilly,VA,20151,703-222-8100,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,131,Chantilly High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Scott  Poole ,4201 Stringfellow Rd,,Chantilly,VA,20151,703-222-8100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2445,Chantilly High School Academy,,,Local Education Agency,Public center - Career and Technical Ed.,,,Scott  Settar ,Chantilly HS Academy,4201 Stringfellow Road,Chantilly,VA,20151,703-222-8100,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,480,Cherry Run Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mark  Bibbee ,9732 Ironmaster Dr,,Burke,VA,22015,703-923-2800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,100,Chesterbrook Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Stacy  Kirkpatrick ,1753 Kirby Rd,,McLean,VA,22101,703-714-8200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1050,Churchill Road Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cherith  Pierson ,7100 Churchill Rd,,McLean,VA,22101,703-288-8400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,260,Clearview Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Stephanie P. Almquist ,12635 Builders Rd,,Herndon,VA,20170,703-708-6000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1870,Clermont Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Roxanne  Salata ,5720 Clermont Dr,,Alexandria,VA,22310,703-921-2400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2456,Clifford S. Hardison Governor's Health Sciences Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,   ,6500 Quander Road,,Alexander,VA,22307,703-329-7727,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2347,Coates Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Paul  Basdekis ,2480 River Birch Rd.,,Herndon,VA,20171,703-713-3000,Membership,,
